speaker,canadian,word,difference in F1,environment
abby,yes,price,323.62,voiceless
abby,yes,mouth,55.73,voiceless
abby,yes,height,372.15,voiceless
abby,yes,how'd,522.36,voiced
abby,yes,hide,473.04,voiced
jana,yes,price,201.28,voiceless
jana,yes,mouth,85.23,voiceless
jana,yes,height,407.03,voiceless
jana,yes,how'd,391.47,voiced
jana,yes,hide,360.29,voiced
eli,no,price,190.46,voiceless
eli,no,mouth,221.65,voiceless
eli,no,height,454.91,voiceless
eli,no,how'd,209.21,voiced
eli,no,hide,463.71,voiced
fiona,no,price,300.23,voiceless
fiona,no,mouth,301.81,voiceless
fiona,no,height,637.3,voiceless
fiona,no,how'd,399.04,voiced
fiona,no,hide,,voiced